"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest"
"793","URCOS",80801,2025,60,30173.4929577465,25.0770894137004,0.326933439499528,0.187289009149268,61.7593499065394,1.16027422012859,17.1664858114491,0,0,0
"794","ANDAHUAYLILLAS",80802,2025,60,1304.98591549251,21.048011907103,0.254589471611179,0.154322372684749,49.4666700541704,0.121528209128737,77.5314118287652,0,0,0
"795","CAMANTI",80803,2025,60,16186.0281690127,24.3133088456954,0.346733219350047,0.193184076193211,63.2836885874612,0.138623354949886,19.8670826567493,0,0,0
"796","CCARHUAYO",80804,2025,60,1221.91549295837,25.0549519049996,0.342073267565847,0.198960602310481,62.3569444474004,0.133135277887065,46.0849687893344,0,0,0
"797","CCATCA",80805,2025,60,4563.21126760166,24.7395147577955,0.367042596158045,0.214610982129816,74.2435858161179,0.124044550987094,63.5060378107853,0,0,0
"798","CUSIPATA",80806,2025,60,3298.98591549439,25.3606090634787,0.397499779248669,0.22384025850625,65.2185169346193,0.131695874090138,21.1624637027431,0,0,0
"799","HUARO",80807,2025,60,2169.99999999886,23.7596741334655,0.278700491421427,0.161759862102603,56.2574633171826,0.134455528751117,53.437667859193,0,0,0
"800","MARCAPATA",80808,2025,60,2201,24.1863048870352,0.38656347644525,0.228501867388621,79.5568440384957,0.144941285964161,38.0339821914578,0,0,0
"801","OCONGATE",80901,2025,60,29271,20.3425998799082,0.528610358573995,0.343876650671782,91.6312858817975,0.340394266160297,31.627855438559,0,0,0
"802","QUIQUIJANA",80902,2025,60,17007,19.2638226633503,0.574999126204292,0.378395010694747,217.593752566989,0.0866130713980254,37.078558598746,0,0,0
"803","URUBAMBA",80903,2025,60,2986.88732394329,16.3266368082848,0.462802533449886,0.283637073122443,82.5218260196682,0.161561280215095,53.4764020848846,0,0,0
"804","CHINCHERO",80904,2025,60,3598.45070422594,21.4736728525825,0.600602641487253,0.344555680078776,80.7450346309778,0.268104961676246,29.4658548282837,0,0,0
"805","MACHUPICCHU",80905,2025,60,5925.59154929307,16.0998865297158,0.477324629739858,0.291508260699952,93.2659346786158,0.101258086707966,25.4638197688134,0,0,0
"806","MARAS",80906,2025,60,17350.8028169019,21.1238165940432,0.59416078400033,0.377547158521481,149.471320103859,0.110504901133661,27.9831196922992,0,0,0
"807","OLLANTAYTAMBO",80907,2025,60,13745,20.788925223691,0.53429910263383,0.329761491947273,179.173633653659,0.16114860763442,38.4080147894965,0,0,0
"808","YUCAY",80908,2025,60,6417,13.1398611539475,0.403488070051209,0.234954534925118,111.329582667279,0.097067722779479,55.62852951929,0,0,0
"809","CAMPO DE LA CRUZ",80909,2025,60,11581,14.5053536058259,0.445718923036583,0.290859227822108,106.54268659595,0.0952554810561364,52.7511628817103,0,0,0
"810","CANDELARIA",80910,2025,60,18135.9014084507,22.1579344852671,0.500362956887002,0.330942591510134,190.571801187196,0.18448279620702,21.056014612677,0,0,0
"811","GALAPA",80911,2025,60,7087.0985915493,17.8415507197929,0.507709548635615,0.276879240034366,86.251606465198,0.141509978149613,63.071888493296,0,0,0
"812","JUAN DE ACOSTA",80912,2025,60,2115.12676056232,15.5917184913251,0.521603020659695,0.340573611346774,110.526413015658,0.12904828506463,71.299987519738,0,0,0
"813","LURUACO",80913,2025,60,2776,20.8570976962994,0.619514010642532,0.414262788158204,121.646612555856,0.143498648808023,51.1983642051629,0,0,0
"814","MALAMBO",80914,2025,60,21136,24.75006393057,0.701678387564298,0.484569530204943,298.863547391795,0.335005748728996,36.2852373707081,0,0,0
"815","MANATI",81001,2025,60,73444,28.9210025310204,0.643498015129794,0.383462596285413,99.7503511114583,0.204235537216819,4.49650898490744,0,0,0
"816","PALMAR DE VARELA",81002,2025,60,3080,22.2257194303537,0.423621240876727,0.232796716840626,77.8565037331444,0.122457031709076,25.6296586702834,0,0,0
