"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest","enn_mn_forest"
"5382","Embu-Guaçu",3202702,2021,12,12099.7605633803,28.9648032000083,0.61051784801082,0.397053154941694,80.3116614303557,0.478864472353534,9.17454362852248,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5383","Emilianópolis",3202801,2021,12,28254.1408450708,31.4496840062255,0.654620513011128,0.45579363752117,88.1490739207973,1.65830417317695,14.5330976533148,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5384","Engenheiro Coelho",3202900,2021,12,9020.0985915493,27.0253941938988,0.641308149932166,0.425968937013567,82.9128260311797,0.562858216090469,24.7704918032787,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5385","Espírito Santo do Pinhal",3203007,2021,12,23172.2112676057,25.8092062193447,0.688333873413986,0.432868029663268,90.2381356888293,0.798728606332314,9.10399586749317,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5386","Espírito Santo do Turvo",3203056,2021,12,27214.2957746485,29.4669946930122,0.631981387403548,0.414657841888873,79.2379994636683,0.56360506978609,12.6377173767365,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5387","Estrela d'Oeste",3203106,2021,12,10035.3239436618,30.3370663743838,0.634845760807098,0.434595677635792,88.6745649826092,1.07804598125719,30.4712375557129,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5388","Estrela do Norte",3203130,2021,12,14162.5492957733,28.6796295555977,0.641395583277187,0.396243133876077,99.709961339637,0.881435826012357,8.59937536806304,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5389","Euclides da Cunha Paulista",3203163,2021,12,9209,28.2978978028152,0.606017679307398,0.403174359623128,81.888327425907,0.370029687912309,25.8196359007714,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5390","Fartura",3203205,2021,12,150567.563380266,28.5330661191722,0.613346791514982,0.39758651724963,105.732099011369,0.872378807988153,39.8102638153675,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5391","Fernandópolis",3203304,2021,12,13137.8591549291,28.4176307929758,0.596056713616714,0.419262391219413,118.192549172768,0.496549483905506,10.0552565602541,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5392","Fernando Prestes",3203320,2021,12,32634.1267605637,31.6567128770677,0.582118007501765,0.327563829279847,72.6039656008285,4.45306867825269,71.517453015779,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5393","Fernão",3203346,2021,12,14577.7183098591,25.1591956681703,0.767640888576011,0.472860840583914,90.2964015813307,0.864233061646157,23.5680473372781,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5394","Ferraz de Vasconcelos",3203353,2021,12,11039.1690140851,29.0605066213043,0.59695518727617,0.376116386344059,100.715914815282,0.418032442114725,58.106777922326,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5395","Flora Rica",3203403,2021,12,21988,29.1183535131387,0.737333609287427,0.432388422283845,83.194345380509,0.580287992232836,9.49652009850132,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5396","Floreal",3203502,2021,12,15498.042253521,31.5186539113178,0.616556281846879,0.377761446787364,73.0564113342313,0.433701568132696,15.772168379151,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5397","Flórida Paulista",3203601,2021,12,4596.11267605643,31.9989788511511,0.61217822974142,0.359412633644901,66.7604496796856,0.585384658144709,20.5980032467789,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5398","Florínia",3203700,2021,12,14481.042253521,26.7627297114887,0.647152573548224,0.44369028502509,88.9318864302397,0.476901344696746,13.1340918757975,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5399","Franca",3203809,2021,12,13276.6197183093,28.4920286476546,0.704905461244911,0.463717003800615,86.3508377582841,0.66619576322316,9.41276595744681,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5400","Francisco Morato",3203908,2021,12,41880.7464788717,30.4086380917305,0.581434630473964,0.375639804561029,71.9945947288931,0.577638082738501,20.0627998144973,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5401","Franco da Rocha",3204005,2021,12,19095.8169014092,28.7044399965305,0.638932152848056,0.400519547871489,73.466848551207,0.240574750685841,6.22092666462105,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5402","Gabriel Monteiro",3204054,2021,12,21844.704225352,31.0895919731327,0.589343367692115,0.391856962196271,77.9793429429682,1.03077577322712,10.3463340510878,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5403","Gália",3204104,2021,12,22825.3802816885,31.183019805229,0.638814495175818,0.38424911587799,76.068082336857,0.58472746347813,17.9062587533709,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5404","Garça",3204203,2021,12,17270.9859154914,31.0295469208621,0.613765155431544,0.407042742217887,105.911746279985,3.91857570654364,18.7440834551548,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
